Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,win_x86,win_x86-64,win_x86-64_cmprssptrs,linux_x86,linux_x86-64,linux_x86-64_cmprssptrs,linux_ppc,linux_ppc-64,linux_ppc-64_cmprssptrs,linux_ppc-64_le,linux_ppc-64_cmprssptrs_le,linux_390,linux_390-64,linux_390-64_cmprssptrs,aix_ppc,aix_ppc-64,aix_ppc-64_cmprssptrs,zos_390,zos_390-64,zos_390-64_cmprssptrs,linux_arm,osx_x86-64,osx_x86-64_cmprssptrs,bsd_x86-64_cmprssptrs,sunos_sparcv9-64_cmprssptrs,linux_aarch64,linux_aarch64_cmprssptrs,linux_riscv64,linux_riscv64_cmprssptrs
plat,win_x86-32,win_x86-64,win_x86-64_cr,linux_x86-32,linux_x86-64,linux_x86-64_cr,linux_ppc-32,linux_ppc-64,linux_ppc-64_cr,linux_ppcle-64,linux_ppcle-64_cr,linux_390-31,linux_390-64,linux_390-64_cr,aix_ppc-32,aix_ppc-64,aix_ppc-64_cr,zos_390-31,zos_390-64,zos_390-64_cr,linux_arm,osx_x86-64,osx_x86-64_cr,bsd_x86-64_cr,sunos_sparcv9-64_cr,linux_aarch64,linux_aarch64_cr,linux_riscv64,linux_riscv64_cr
capabilities,"vm:standard,arch:32bit,os:win,arch:x86,test:java9","vm:standard,arch:64bit,os:win,arch:x86,test:java9","vm:compressed_refs,arch:64bit,os:win,arch:x86,test:java9","vm:standard,arch:32bit,os:linux,os:unix,arch:x86,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:x86,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:x86,test:java9","vm:standard,arch:32bit,os:linux,os:unix,arch:ppc,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:ppc,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:ppc,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:ppcle,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:ppc,arch:ppcle,test:java9","vm:standard,arch:31bit,os:linux,os:unix,arch:390,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:390,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:390,test:java9","vm:standard,arch:32bit,os:aix,os:unix,arch:ppc,test:java9","vm:standard,arch:64bit,os:aix,os:unix,arch:ppc,test:java9","vm:compressed_refs,arch:64bit,os:aix,os:unix,arch:ppc,test:java9","vm:standard,arch:31bit,os:zos,arch:390,test:java9","vm:standard,arch:64bit,os:zos,arch:390,test:java9","vm:compressed_refs,arch:64bit,os:zos,arch:390,test:java9","arch:32bit,os:linux,arch:arm","vm:standard,arch:64bit,os:osx,os:unix,arch:x86,test:java9","vm:compressed_refs,arch:64bit,os:osx,os:unix,arch:x86,test:java9","vm:compressed_refs,arch:64bit,os:bsd,os:unix,arch:x86,test:java9","vm:compressed_refs,arch:64bit,os:sunos,os:unix,arch:x86,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:aarch64,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:aarch64,test:java9","vm:standard,arch:64bit,os:linux,os:unix,arch:riscv,test:java9","vm:compressed_refs,arch:64bit,os:linux,os:unix,arch:riscv,test:java9"
# Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Refer to /lib/makelib/default/variations.mk and /lib/makelib/default/modes.mk for macros set (e.g. JVM options) by these variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation:DDRTest,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:TckLevel101,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:TckLevel102,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:NoOptions,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
variation:CEEHDLR,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
variation:NoJit,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
variation:JitCount0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
variation:JitSanity0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
variation:JitSanity1,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
variation:JitTestModeTossCode,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,no,yes,yes,yes,yes,no,no
variation:Mode100,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode101,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode103,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode104,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode105,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode106,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode107,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode108,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode109,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no
variation:Mode109-CS,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
variation:Mode110,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode110-CS,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
variation:Mode112,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode113,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode114,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
variation:Mode115,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode118,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode119,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode121,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode122,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode123,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
variation:Mode124,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode127,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode128,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode130,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode131,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode136,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode137,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode138,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode139,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
